City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
388,kalabo,-14.97,22.6814,76.12,71,99,6.2,ZM,1613988777
389,bathsheba,13.2167,-59.5167,77.0,69,40,21.85,BB,1613988777
390,qaqortoq,60.7167,-46.0333,24.8,46,75,3.44,GL,1613988777
391,lerwick,60.1545,-1.1494,44.6,87,20,10.36,GB,1613988777
392,saint-augustin,51.226,-58.6502,7.11,90,100,9.73,CA,1613988777
393,sechura,-5.5569,-80.8222,71.89,75,95,8.57,PE,1613988778
394,malakal,9.5334,31.6605,95.65,10,0,9.08,SS,1613988778
395,alipur chatha,32.2688,73.819,77.0,57,10,2.84,PK,1613988778
396,balabac,7.9868,117.0645,78.37,84,100,12.28,PH,1613988778
397,ust-tsilma,65.441,52.1498,-7.13,89,100,5.48,RU,1613988778
398,ascension,30.2169,-90.9001,53.6,94,40,4.05,US,1613988778
399,eureka,40.8021,-124.1637,46.99,94,31,6.29,US,1613988778
400,bardiyah,31.7561,25.0865,59.16,68,73,14.36,LY,1613988779
401,san ramon,37.7799,-121.978,51.01,61,1,4.61,US,1613988765
402,ararangua,-28.9347,-49.4858,67.57,91,8,3.89,BR,1613988600
403,zhumadian,32.9794,114.0294,59.88,43,2,12.55,CN,1613988779
404,houma,29.5958,-90.7195,57.99,94,90,3.44,US,1613988779
405,santa maria,-29.6842,-53.8069,69.8,100,90,6.91,BR,1613988779
406,vestmanna,62.1564,-7.1664,44.6,93,75,10.36,FO,1613988779
407,high prairie,55.4334,-116.4858,37.4,65,2,16.11,CA,1613988512
408,san andres,12.5847,-81.7006,78.8,78,40,11.5,CO,1613988504
409,nichinan,31.6,131.3667,69.8,56,75,12.66,JP,1613988549
410,makakilo city,21.3469,-158.0858,75.2,73,20,4.61,US,1613988780
411,waipawa,-41.4122,175.5153,66.2,72,1,33.55,NZ,1613988780
412,edson,53.5835,-116.4356,39.2,81,75,13.8,CA,1613988594
413,akureyri,65.6835,-18.0878,33.8,80,75,3.44,IS,1613988780
414,kasane,-17.8167,25.15,84.2,58,40,9.22,BW,1613988780
415,eyl,7.9803,49.8164,83.71,49,99,21.0,SO,1613988780
416,christchurch,-43.5333,172.6333,62.01,94,92,8.95,NZ,1613988781
417,kahului,20.8947,-156.47,73.4,68,1,9.22,US,1613988729
418,dauriya,49.9333,116.8667,-11.51,87,0,6.82,RU,1613988781
419,marion,39.7684,-86.1555,37.99,93,90,18.41,US,1613988781
420,kloulklubed,7.0419,134.2556,80.6,100,75,4.61,PW,1613988781
421,nipawin,53.3668,-104.0009,37.4,65,1,18.41,CA,1613988693
422,conselheiro pena,-19.1722,-41.4722,73.35,84,64,1.52,BR,1613988782
423,westport,41.1415,-73.3579,32.0,64,90,10.36,US,1613988686
424,jalu,29.0331,21.5482,62.73,43,0,7.9,LY,1613988782
425,sangar,63.9242,127.4739,-28.77,85,98,2.77,RU,1613988782
426,riyadh,24.6877,46.7219,68.0,49,0,8.05,SA,1613988508
427,adrian,41.8975,-84.0372,36.0,93,90,19.57,US,1613988782
428,srednekolymsk,67.45,153.6833,-33.3,82,0,2.33,RU,1613988730
429,cairns,-16.9167,145.7667,77.0,94,97,2.3,AU,1613988670
430,fairbanks,64.8378,-147.7164,-20.0,74,1,0.36,US,1613988783
431,amalapuram,16.5833,82.0167,91.4,43,0,4.61,IN,1613988783
432,winnemucca,40.973,-117.7357,24.8,80,1,4.61,US,1613988783
433,blagoyevo,63.3667,47.9167,-14.15,87,99,5.77,RU,1613988783
434,silver city,32.7701,-108.2803,32.0,43,1,6.91,US,1613988783
435,fiche,9.8,38.7333,65.75,42,41,5.5,ET,1613988783
436,tura,25.5198,90.2201,83.37,19,4,5.97,IN,1613988784
437,dunedin,-45.8742,170.5036,61.0,93,96,8.01,NZ,1613988784
438,havelock,34.8791,-76.9013,39.99,86,75,4.61,US,1613988784
439,copiapo,-27.3667,-70.3333,60.8,82,90,4.61,CL,1613988657
440,buraydah,26.326,43.975,62.6,77,40,14.97,SA,1613988564
441,kure,34.2333,132.5667,64.99,63,20,5.75,JP,1613988784
442,chimbote,-9.0853,-78.5783,68.97,82,100,4.07,PE,1613988784
443,helena,46.5927,-112.0361,41.0,56,75,4.61,US,1613988641
444,camacari,-12.6975,-38.3242,82.4,78,40,3.44,BR,1613988785
445,bonthe,7.5264,-12.505,82.94,75,41,3.31,SL,1613988785
446,santa isabel do rio negro,-0.4139,-65.0192,73.13,98,69,1.32,BR,1613988785
447,nha trang,12.25,109.1833,77.0,65,20,19.57,VN,1613988785
448,kodino,63.7198,39.6447,-14.89,85,11,2.8,RU,1613988785
449,quimper,48.0,-4.1,50.0,87,0,8.05,FR,1613988785
450,joshimath,30.5667,79.5667,67.15,24,39,7.2,IN,1613988785
451,odweyne,9.4092,45.064,85.51,15,77,14.03,SO,1613988786
452,soyo,-6.1349,12.3689,77.0,94,75,4.61,AO,1613988786
453,nouadhibou,20.931,-17.0347,68.0,68,0,19.57,MR,1613988786
454,vao,-22.6667,167.4833,79.86,83,100,15.1,NC,1613988786
455,lamovita,44.9256,16.9072,42.8,81,20,4.61,BA,1613988786
456,eydhafushi,5.1033,73.0708,82.6,74,100,11.79,MV,1613988786
457,zavyalovo,54.5053,82.4484,-0.4,65,0,2.24,RU,1613988786
458,emba,48.8264,58.1442,18.0,96,100,17.65,KZ,1613988786
459,enshi,30.3,109.4833,69.98,44,26,0.94,CN,1613988787
460,mineiros,-17.5694,-52.5511,68.5,96,36,4.36,BR,1613988787
461,bonavista,48.6499,-53.1147,15.01,85,100,11.5,CA,1613988787
462,kamyshlov,56.8428,62.7111,-1.16,89,100,3.38,RU,1613988787
463,pemangkat,1.1667,108.9667,79.68,81,100,15.1,ID,1613988787
464,leshukonskoye,64.8989,45.7622,-15.29,88,94,4.7,RU,1613988787
465,lazaro cardenas,17.9583,-102.2,68.54,70,68,4.52,MX,1613988788
466,tahta,26.7693,31.5021,64.4,34,0,9.22,EG,1613988788
467,camana,-16.6228,-72.7111,67.35,75,100,5.73,PE,1613988788
468,laguna,38.421,-121.4238,44.01,75,1,2.06,US,1613988788
469,trairi,-3.2778,-39.2689,78.76,85,88,9.42,BR,1613988788
470,consett,54.854,-1.8316,45.0,93,100,5.77,GB,1613988788
471,kremenchuk,49.0973,33.4197,34.21,93,95,9.57,UA,1613988788
472,tezu,27.9167,96.1667,84.97,18,0,4.29,IN,1613988788
473,zhigalovo,54.8097,105.1578,3.65,90,83,2.24,RU,1613988789
474,louga,58.7372,29.8453,13.32,95,100,8.99,RU,1613988789
475,manjeshwar,12.7194,74.8861,89.6,45,75,9.22,IN,1613988789
476,swift current,50.2834,-107.8014,39.2,65,90,32.21,CA,1613988789
477,porangatu,-13.4408,-49.1486,68.49,97,100,2.35,BR,1613988789
478,mitsamiouli,-11.3847,43.2844,86.0,74,75,6.91,KM,1613988789
479,mecca,21.4267,39.8261,79.66,42,63,11.97,SA,1613988789
480,poum,-20.2333,164.0167,83.28,78,80,11.54,NC,1613988789
